teamscorepos,dateloc,possessions,totalDrama,perDrama
144 Western Michigan 78 204 Miami OH 77  (OT) [67],"Saturday, January 11, 2014 3:00 pm ET John D. Millett Hall Miami, OH",67,7.1598,0.052645588
207 Idaho 76 295 Portland St. 75 [64],"Saturday, December 14, 2013 10:05 pm ET Stott Center Portland, OR",64,6.6251,0.052580159
11 Tennessee 78 28 Iowa 65  (OT) [65],"Wednesday, March 19, 2014 9:10 pm ET University of Dayton Arena Dayton, OH",65,6.8306,0.052543077
192 College of Charleston 47 139 Drexel 46 [61],"Thursday, February 13, 2014 7:00 pm ET TD Arena Charleston, SC",61,6.41,0.052540984
228 Saint Peter's 65 271 Fairfield 62  (OT) [65],"Thursday, March 6, 2014 7:00 pm ET MassMutual Center Springfield, MA",65,6.7773,0.052537209
52 Dayton 60 20 Ohio St. 59 [66],"Thursday, March 20, 2014 12:15 pm ET First Niagara Center Buffalo, NY",66,6.8271,0.052516154
99 Oregon St. 76 134 USC 75  (OT) [75],"Thursday, January 30, 2014 9:00 pm ET Gill Coliseum Corvallis, OR",75,8.1921,0.052513462
149 Youngstown St. 67 79 Cleveland St. 66 [65],"Monday, January 13, 2014 7:05 pm ET Beeghly Physical Education Center Youngstown, OH",65,6.4544,0.052474797
178 UCF 75 189 South Florida 74 [63],"Saturday, February 15, 2014 1:30 pm ET USF Sun Dome Tampa, FL",63,6.6081,0.052445238
91 Seton Hall 64 6 Villanova 63 [66],"Thursday, March 13, 2014 12:00 pm ET Madison Square Garden New York, NY",66,6.9209,0.052431061
182 Charleston Southern 97 334 Central Arkansas 90  (2OT) [87],"Saturday, December 21, 2013 1:00 pm ET Farris Center Conway, AR",87,9.2224,0.0524
156 Pacific 68 106 Portland 65 [61],"Saturday, March 1, 2014 6:00 pm ET Spanos Center Stockton, CA",61,6.3917,0.052390984
259 Northern Arizona 65 282 Portland St. 63 [61],"Thursday, February 13, 2014 10:05 pm ET Stott Center Portland, OR",61,6.493,0.052362903
41 LSU 70 54 Butler 68  (OT) [70],"Sunday, December 1, 2013 2:30 pm ET HP Field House Kissimmee, FL",70,7.4808,0.052313287
217 FIU 61 157 Georgia St. 60 [66],"Saturday, November 30, 2013 5:00 pm ET U.S. Century Bank Arena Miami, FL",66,6.9522,0.05227218
62 Boise St. 91 90 UNLV 90  (OT) [77],"Saturday, February 22, 2014 8:05 pm ET Taco Bell Arena Boise, ID",77,7.8927,0.052269536
28 Iowa St. 85 21 Oklahoma St. 81  (OT) [82],"Saturday, March 8, 2014 2:00 pm ET Hilton Coliseum Ames, IA",82,8.5517,0.052144512
64 Saint Mary's 69 128 Pepperdine 67  (OT) [69],"Saturday, February 8, 2014 4:00 pm ET Firestone Fieldhouse Malibu, CA",69,7.0372,0.052127407
179 Nevada 61 98 Wyoming 58 [55],"Saturday, January 4, 2014 6:05 pm ET Lawlor Events Center Reno, NV",55,5.9934,0.052116522
305 Central Connecticut 86 311 LIU Brooklyn 82  (OT) [81],"Thursday, February 27, 2014 7:00 pm ET Wellness, Recreation and Athletic Center Brooklyn, NY",81,8.5468,0.052114634
302 Texas Pan American 71 285 Chicago St. 68  (OT) [74],"Thursday, February 13, 2014 8:00 pm ET UTPA Fieldhouse Edinburg, TX",74,7.9186,0.052096053
20 Oregon 100 48 BYU 96  (OT) [88],"Saturday, December 21, 2013 10:30 pm ET Matthew Knight Arena Eugene, OR",88,9.1156,0.052089143
276 TCU 64 112 Washington St. 62 [62],"Sunday, November 24, 2013 6:00 pm ET Friel Court Pullman, WA",62,6.3892,0.051944715
25 Connecticut 89 46 Saint Joseph's 81  (OT) [72],"Thursday, March 20, 2014 6:55 pm ET First Niagara Center Buffalo, NY",72,7.5287,0.051922069
338 Binghamton 72 324 New Hampshire 71  (OT) [73],"Wednesday, February 12, 2014 7:00 pm ET Lundholm Gym Durham, NH",73,7.4715,0.051885417
334 Texas A&M Corpus Chris 72 242 IPFW 71 [63],"Friday, November 15, 2013 8:30 pm ET American Bank Center Corpus Christi, TX",63,6.5373,0.051883333
267 Central Michigan 78 185 Kent St. 73  (OT) [71],"Wednesday, February 5, 2014 7:00 pm ET McGuirk Arena Mt. Pleasant, MI",71,7.5696,0.051846575
56 West Virginia 89 111 Texas Tech 86  (OT) [72],"Monday, January 6, 2014 7:00 pm ET United Spirit Arena Lubbock, TX",72,7.1028,0.051845255
330 UMass Lowell 58 326 New Hampshire 52 [59],"Saturday, February 22, 2014 3:30 pm ET Lundholm Gym Durham, NH",59,5.6505,0.05183945
68 Georgia 75 91 Mississippi 73 [71],"Friday, March 14, 2014 9:25 pm ET Georgia Dome Atlanta, GA",71,7.2051,0.051835252
211 Nevada 87 310 UC Davis 81  (OT) [74],"Saturday, December 7, 2013 10:00 pm ET The Pavilion Davis, CA",74,7.4613,0.051814583
17 Pittsburgh 85 98 Notre Dame 81  (OT) [66],"Saturday, March 1, 2014 2:00 pm ET Joyce Center South Bend, IN",66,6.9327,0.051736567
131 Kent St. 79 127 USC Upstate 78 [63],"Friday, November 22, 2013 7:00 pm ET Memorial A &amp; C Center Kent, OH",63,6.5638,0.051683465
58 New Mexico 68 144 Colorado St. 66 [66],"Saturday, January 25, 2014 4:00 pm ET Moby Arena Fort Collins, CO",66,7.0798,0.051677372
90 North Carolina St. 80 137 Georgia Tech 78  (OT) [71],"Sunday, January 26, 2014 1:00 pm ET PNC Arena Raleigh, NC",71,7.4906,0.05165931
219 Sam Houston St. 107 164 Northwestern St. 104  (2OT) [94],"Thursday, January 2, 2014 8:30 pm ET Prather Coliseum Natchitoches, LA",94,9.7061,0.051628191
317 Stetson 65 234 Lipscomb 63 [63],"Monday, December 30, 2013 7:00 pm ET Edmunds Center DeLand, FL",63,6.5916,0.051496875
122 Hawaii 76 37 Saint Mary's 74 [62],"Monday, December 23, 2013 11:30 pm ET Stan Sheriff Center Honolulu, HI",62,6.2796,0.051472131
170 Boston College 62 141 Virginia Tech 59 [61],"Saturday, January 11, 2014 12:00 pm ET Cassell Coliseum Blacksburg, VA",61,6.5341,0.051449606
302 Samford 57 317 Furman 55 [54],"Saturday, January 11, 2014 7:00 pm ET Pete Hanna Center Homewood, AL",54,5.7587,0.051416964
31 New Mexico 64 16 San Diego St. 58 [59],"Saturday, March 15, 2014 6:00 pm ET Thomas &amp; Mack Center Las Vegas, NV",59,6.0155,0.05141453
194 William & Mary 63 241 Wofford 60 [60],"Saturday, December 7, 2013 2:00 pm ET Johnson Arena Spartanburg, SC",60,6.1683,0.0514025
152 Pacific 73 151 Cal Poly 71 [62],"Saturday, November 30, 2013 4:00 pm ET Matthew Knight Arena Eugene, OR",62,6.2636,0.051340984
41 Providence 82 37 Boston College 78  (OT) [78],"Friday, November 8, 2013 6:00 pm ET Dunkin' Donuts Center Providence, RI",78,7.6498,0.05134094
234 Monmouth 63 263 Fairfield 60 [61],"Thursday, January 23, 2014 7:00 pm ET Multipurpose Activity Center West Long Branch, NJ",61,6.2629,0.051335246
275 Lipscomb 60 263 North Florida 58 [67],"Saturday, February 1, 2014 7:00 pm ET UNF Arena Jacksonville, FL",67,7.0232,0.051264234
201 Western Kentucky 82 179 Arkansas St. 77  (2OT) [80],"Saturday, January 18, 2014 8:00 pm ET E.A. Diddle Arena Bowling Green, KY",80,8.202,0.0512625
3 Syracuse 58 14 Pittsburgh 56 [54],"Wednesday, February 12, 2014 7:00 pm ET Petersen Events Center Pittsburgh, PA",54,5.481,0.051224299
